پ,Eng Name,Ar Name
206,`Abd al-Raḥman b. Muḥammad b. Mas`ūd b. `Umar b. Mūsa al-Fārsī,عبد الرحمان بن محمد بن مسعود بن عمر بن موسى الفارسي
207,`Abd al-Raḥmān b. Muḥammad Maḥmūd,عبد الرحمان بن محمد محمود
208,`Abd al-Raḥmān b. Muḥammad Sanūsī b. Yūsuf,عبدالرحمان بن محمد سنوسي بن يوسف
209,`Abd ar-Raḥmān b. Muḥummadhun Fāl [Ṿāl] b. Muttālī at-Tandaghī,عبد الرحمن بن محمذن فال بن متالي التندغي
210,`Abd al-Raḥmān b. Mūlāy Aḥmad b. Mūlāy al-Bashīr,عبد الرحمان بن مولاي أحمد بن مولاي البشير
211,`Abd al-Raḥmān b. Naṣr al-Shīrāzī,عبد الرحمان بن نصر الشيرازي
212,`Abd al-Raḥmān b. Rajab,عبد الرحمان بن رجب
213,`Abd al-Raḥmān b. Salām al-Ghafārī,عبد الرحمان بن سلام الغفاري
214,`Abd al-Raḥmān b. Sīdi Bukār b. Ḥayd al-Jīrī,عبد الرحمان بن سيد بكار بن حيد الجيري
215,`Abd al-Raḥmān b. Sidīd al-Anṣārī al-Kallādī (al-Gallādī),عبد الرحمان بن سديد الأنصاري الكلادي
219,`Abd al-Rahman b. Yakhluftān b. Aḥmad al-Fāzāzī,عبد الرحمان بن يكلفتان بن أحمد الفازازي
220,`Abd al-Raḥmān b. Yūsuf al-'Ujhūrī,عبد الرحمان بن يوسف الأجهوري
222,`Abd al-Raḥmān b. Yūsuf al-Bijā'ī,عبد الرحمان بن يوسف البجائي
223,`Abd al-Rahman b. Yūsuf al-Ifrīqī, عبد الرحمن بن يوسف الإفريقي
225,`Abd al-Raḥmān b.`Abd Allāh al-Qayrawānī,عبد الرحمان بن عبد الله القيرواني
226,`Abd al-Raḥmān b.`Alī,عبد الرحمان بن علي‏ ‬
227,`Abd al-Raḥmān b.`Alī al-Shaybānī,عبد الرحمان بن علي‏ ‬الشيباني‏ ‬
230,`Abd al-Raḥmān b.`Alī b. Ṣālaḥ al-Makkūdī,عبد الرحمان بن علي‏ ‬بن صالح المكودي‏ ‬
231,`Abd al-Raḥmān Muḥammad b. Makhlūf al-Salībī,عبدالرحمان بن محمد بن مخلوف السليبي
232,`Abd al-Raḥmān Namātā Binṭim,عبد الرحمان نماتا بنطم
