پ,Eng Name,Ar Name
6170,aṭ-Ṭālib Muḥammad b. aṭ-Ṭālib A`mar al-Khaṭṭāṭ al-Walātī,الطالب محمد بن الطالب اعمر الخطاط الولاتي
6171,Sīdī Aḥmad al-Mukhtār b. aṭ-Ṭālib Muḥammad al-Mukhtār al-Walātī al-Mālikī,سيدي أحمد المختار بن الطالب محمد المختار الولاتي المالكي
6172,Muḥammad b. Aḥmad b. al-Maḥbūbī al-Yadālī,محمد بن أحمد بن المحجوبي اليدالي
6173,Muḥammad Sālim b. Sidi b. Zayn al-`Ābidīn al-Yadālī,محمد سالم بن سيدي بن زين العبدين اليدالي
6174,Muḥummadhun b. al-Maḥbūbi al-Yadālī,محمذن بن المحبوبي اليدالي
6175,al-Mukhtār b. Muḥammad al-Yadālī Fāl [Ṿāl],المختار بن محمد اليدالي فال
6176,Zayn b. Muḥammad Sa`īd b. Hilāl al-Yadālī,زين بن محمد سعيد بن هلال اليدالي
6177,`Abd al-Wahhāb b. Ḥamāh al-Ya`qūbī,عبد الوهاب بن حماه اليقوبي
6178,Mā'lūm b. Aḥmad Sālim al-Ḥusaynī al-Ya`qūbī,مالم بن أحمد سالم الحسيني اليعقوبي
6179,Fatān b. Sīdāmīn b. ash-Shaykh Muḥammad al-Māmī [al-Ṃāṃī] al-Ya`qūbī,فتا بن سيد أمين بن الشيخ محمد المامي اليقوبي
6180,Muḥammad `Abd Allāh b. Muḥammaddan b. Ddafāl [Ddaṿāl] al-Ya`qūbī,محمد عبد الله بن محمدن بن ادفال اليقوبي
6181,Muḥammad `Abd Allāh b. Muḥammad al-Mukhtār b. Aḥmad Takrūr al-Mūsawī al-Ya`qūbī,محمد عبد الله بن محمد المختار بن أحمد تكرور الموسوي اليقوبي
6182,Muḥammad al-Amīn b. Muḥammad Mawlūd al-Ya`qūbī al-Mūsawī,محمد الأمين بن محمد مولود اليعقوبي الموسى
6183,Muḥammad Mukhtār b. Ḥabīb Allāh [Ḥabībaḷḷā] al-Mūsawī al-Ya`qūbī,محمد مختار بن حبيب الله الموسوي اليقوبي
6184,Muḥammad b. aṣ-Ṣūfī al-Ya`qūbī,محمد الصوفي اليقوبي
6185,Muḥammad b. Aḥmad b. Muḥammad b. Ḥabīb Allāh [Ḥabībaḷḷā] ash-Shamshawī al-Ya`qūbī,محمد بن أحمد بن محمد بن حبيب الله الشمشوي اليقوبي
6186,Muḥammad Mawlūd b. Muḥammad b. Takrūr al-Ya`qūbī,محمد مولود بن محمد بن تكرور اليقوبي
6187,Muḥammad Mukhtār b. Muḥammad Ṣahīb al-Ya`qūbī,محمد مختار بن محمد صهيب اليقوبي&nbsp;
6188,Muḥammad Sālim b. `Addūd al-Mubārkī al-Ya`qūbī (sic),محمد سالم بن عدود المباركي اليعقوبي (كذا)
6189,Muḥammad Sālim b. Abī al-Ma`ālī al-Ya`qūbī,محمد سالم بن ابي المعالي اليقوبي
6190,Muḥammad `Uthmān b. Muḥyī ad-Dīn al-Ya`qūbī,محمد عثمان بن محي الدين اليقوبي
6191,ash-Shbīh b. Bbūh al-Ya`qūbī al-Mūsawī,الشبيه بن ابٌوه اليعقوبي الموسوي
6192,Aḥmad Bābu b. as-Sālim b. Maḥmud b. al-Mukhtār Bābu al-Ghurbī,أحمد باب بن السالم بن محمود بن المختار باب الغربي
6193,Abbīn (al-Muṣṭafā) b. Muḥammad `Abd ar-Raḥmān b. Muḥammad Mawlūd b. Babānah ash-Sharīf,أبٌين (المصطفي) بن محمد عبد الرحمن بن محمد مولود بن ببانه الشريف
6194,Maḥfūz b. Bāba b. ar-Rāis b. al-Ḥāj `Uthmān ash-Sharīf,محفوظ بن باب بن الرايس بن الحاج عثمان الشريف
6195,Muḥammad Yaḥẓih b. al-Ḥasan b. Ḥammādī,محمد يحظيه بن الحسن بن حمادي
6196,Mūlāy al-Mahdī b. Mūlāy `Umār ash-Sharīf,مولاي المهدي بن مولاي عمار الشريف
6197,`Abd al-Qādir (Kān) b. Tierno Hammādī b. al-Ḥājj al-Amīn,عبد القادر (كان) بن تييرنو همٌادي بن الحاج الأمين
6198,Abū Bakr (Bāyi) b. Alfā `Umar Dukurāy as-Sūninkī,أبو بكر (بايْ) بن ألفا عمر دُكري السونينكي
6199,Aḥmad Mukhtār Sākhū b. Basmūr Lamīn b. `Abd Allāh,أحمد بن مختار ساخو بسمور لمين بن عبد الله
6200,Ḥājj Muḥammad Mbākī Būsū al-Buṣūbī,حاج محمدُ امباكي بوسو البصوبي
6203,"Muḥammad b. Aḥmad ""an-Nā"" al-Fūtī","محمد بن أحمد ""النا"" الفوتي"
6204,Ndyjāy Jayran [Tierno ?] `Umar al-Fūtī al-Mālikī al-Ash`arī,انجي جيرن عمر الفوتي المالكي الأشعري
6205,Muḥammad al-Amīn b. Sīdī Muḥammad b. `Alī b. Nājī,محمد الأمين بن سيدي محمد بن علي بن ناجي
6206,Muḥammad Fāl [Ṿāl] b. `Ābīdīn b. Muḥammad Mawlūd ash-Sharīf b. ash-Shaykh Sīdī Muḥammad aṣ-Ṣa`īdī,محمد فال بن عابدين بن محمد مولود الشريف بن الشيخ سيدي محمد الصعيدي
6207,Muhammad b. Muḥammad Mawlūd (Bābbāh) b. Muḥammad Mawlūd (Baddī) b. ash-Sharīf aṣ-Ṣa`īdī,محمد بن محمد مولود (بابٌاه) بن محمد مولود (بدي) بن الشريف الصعيدي
6208,Sīdī Aḥmad b. Būbakr ash-Shamshawī al-Ya`qūbī ash-Sharīf,سيدي أحمد بن بوبكر الشمشوي اليعقوبي الشريف
6209,Muḥammad al-Khaḍir b. Ḥabīb Allāh [Ḥabībaḷḷā] b. Maḥmūd b. Ḥabīb al-Makkī ash-Shamshawī,محمد الخضر بن حبيب الله بن محمود بن جبيب المكي الشمشوي
6210,Muḥammad `Abd al-Wadūd b. Antahāh ash-Shamsadī,محمد عبد الودود بن انتهاه الشمسدي
6211,Muḥammad `Abd ar-Raḥmān b. A`baydnā ash-Shamsadī al-Aṭārī,محمد عبد الرحمن بن أعبيدنا الشمسدي الأطاري
6212,Limrābiṭ b. Khaṭrī al-Idāshfaghī ash-Shamshawī,لمرابط بن خطري الايداشفغي الشمشوي
6213,Muḥanḍ b. al-Ḥārith ash-Shuqrawī,محنض بن الحارث الشقروي
6214,Muḥammad Maḥmūd b. Fatan b. Fāl [Ṿāl] al-Ḥasanī ash-Shuqrawī,محمد محمود بن فتي بن فال الحستي الشقروي
6215,Aḥmadu b. Aḥmad b. Sīdāmīn ash-Shuqrawī,أحمدُ بن أحمد بن سيدامين الشقروي
6216,Husayn b. `Abd al-Ḥayy ar-Ruqaybī [ar-Rgaybī],حسين بن عبد الحي الرقيبي
6217,al-Mukhtār b. `Alī Bādu as-Sbā`ī,المختار بن علي باد السباعي
6218,Muḥammad al-Maḥfūẓ b. ash-Shaykh al-Muṣṭafā al-Idyaydbī,محمد بن المحفوظ بن الشيخ المصطفي الإديجبي
6219,Aḥmad Bābu b. al-Yadālī b. Muḥammad al-Idawdanya`qbī,أحمد باب بن اليدالي بن محمد الإدودنيعقبي
6220,Aḥmad al-Afram b. Muḥammad b. aṭ-Ṭālib Sīdī al-Mukhtār (Hāhī) b. Aḥmad al-Afram aj-Jakanī,أحمد الأفرم بن محمد بن الطالب سيدي المختار (هاهي) بن أحمد الأفرم الجكني
6221,Muḥammad `Abd ar-Raḥmān b. Aḥmad b. Amghar at-Tandaghī,محمد عبد الرحمن بن أحمد بن أمغر التندغي
6222,Muḥammad al-Mukhtār b. Mḥammad b. Muḥammad al-Mukhtār b. Aḥmad b. Mbālla [Mḅāll&auml;],محمد المختار بن امحمد بن محمد المختار بن أحمد بن امباله
6223,Muḥammad b. Sīdī `Abd Allāh al-`Alawī,محمد بن سيد عبد الله العلوي&rlm;
6224,Muḥummadhun b. al-Amīn (Bbāmīn) b. al-Mukhtār b. Aḥmad b. Muḥammad al-Karīm b. al-Fāl [Ṿāl/al-Ṿāḷḷī] ad-Daymānī,محمذن بن الأمين (ابٌامين) بن المختار بن أحمد بن محمد الكريم بن الفالي الديماني
6225,Ḥabīb Allāh [Ḥabībaḷḷā] b. Muḥammad b. al-Amīn al-Ḥasanī,حبيب الله بن محمد بن الأمين الحسني
6226,Aḥmad b. Muḥammad ar-Raqqāḍī al-Kuntī,أحمد بن محمد الرقادي الكنتي
6227,Muḥammad wuld Muḥammad al-Yadālī al-Abyayrī,محمد ولد محمد اليدالي الأبييري
6228,Muḥammad `Abd Allāh b. Ibn al-Mukhtār b. Abī al-Ma`alī al-Ya`qūbī,محمد عبد الله بن ابن المختار بن ابي المعالي اليعقوبي
6229,Muḥammad `Abd Allāh b. Muḥammad Mūsa b. al-Amīn al-Ya`qūbī al-Mūsawī,محمد عبد الله بن محمد موسى بن الأمين اليعقوبي الموسوي
6230,Muḥammad Mawlūd b. Aḥmad al-Bārikī al-Ya`qūbī,محمد مولود بن أحمد الباركي اليعقوبي
6231,Muḥammad `Abd Allāh b. Aḥmad al-Wāthiq al-Mālikī,محمد عبد الله بن أحمدُ الواثق المالكي
6232,Sīdi `Abd Allāh b. ash-Shayn b. al-Amīn al-Idakwūdyī,سيد عبد الله بن الشين بن الامين الإدَكُّودِي
6233,Ibrāhīm b. Alfagha Turād al-Mālikī (madhaban),إبراهيم بن الفغ تراد المالكي
6234,Sīdī b. Muḥammad Fāl al-Ya`qūbī al-Muḥammadī al-Ash`arī al-Mālikī (madhaban),سيدي بن محمد فال اليعقوبي المحمدي الاشعري المالكي
6235,Muḥammadun b. `Abd al-Malik al-Mālikī (madhaban),محمدن بن عبد الملك المالكي
6236,`Alī b. `Abd as-Salām at-Tasūlī,علي بن عبد السلام التسولي
6237,Abū Muḥammad an-Nūrī al-Mālikī (madhaban),ابو محمد النوري المالكي
6238,al-Mukhtār b. al-Imām al-Kuntī,المختار بن تامام الكنتي
6239,al-Ḥasan b. Sīdi b. Abā Mukhtār b. Zayn al-`Abidīn al-Yadālī,الحسن بن سيد بن أبا مختار بن زين العبدين (البتيتور) اليدالي
6240,Sīdī Muḥammad b. Muḥammaddu b. Jār Allāh b. ash-Shaykh Aḥmad Maḥmūd al-Majlisī,سيدي محمد بن محمدُ بن جار الله بن الشيخ أحمد محمود المجليسي
6241,Ibrāhīm b. al-Imām b. al-Ḥāj Ibrāhīm al-`Alawī,إبراهيم بن المام بن الحاج إبراهيم العلاوي
6242,Ibnu b. al-Muṣṭafā b. Sīdanun ad-Daymānī,أبن بن الحصطف بن سيدنٌ الديماني
6243,Aḥmad b. Aḥmad b. Muḥammad b. Ḥabīb b. Muḥammad b. Abaja al-`Alawī,أحمد بن أحمد بن محمد بن حبيب بن محمد بن أبج العلوي
6244,Aḥmad al-Ḥabīb b. Muḥammad b. Sīdī Aḥmad Laḥbīb aj-Jakanī,أحمد الحبيب بن محمد بن سيدي أحمد لبيب الجكني
6245,Aḥmadu b. al-Bashir b. Sīdī Aḥmad b. Alamīn b. Aḥmad b. Maḥḥam b. Abū Bakr (Bābak) b. Muḥammad b. Muhanḍ al-Mālikī,أحمد بن البشير بن سيدي أحمد بن ألمين بن أحمد بن محم بن ابو بكر (ابابك) بن محمد بن مهنض المالكي
6246,Aḥmadu b. Bābīj b. al-Amin b. Atfagha [Atshfagha] al-Māḥ al-Ya`qūbī,أحمد بن بابيح بن الأمين أتفغ الماح اليعقبي
6247,Aḥmadu al-Wāthiq b. Muḥammadu b. Jiddu al-Mālikī,أحمدُ الواق بن محمدُ بن جدُ المالكي
6248,Aḥmad Sālim b. Sīdiyyā al-Ḥasanī,أحمد سالم بن سيديا الحسني
6249,Aḥmad as-Sālim b. `Abd Allāh b. al-`Ālim at-Tandaghī,أحمد السالم بن عبد الله بن العالم التندغي
6250,Aḥmaddu b. Muḥanḍ b. Sīdī ‘Abdaḷḷa b. Atfagha [Atshfagha] al-Mukhtār ash-Shuqrawī,أحمدُ بن محنض بن سيدي عبدلٌ بن أتفغ المختار الشقروي
6251,Aḥmad b. al-Mukhtār (ash-Shaykh) b. Aḥmad al-Mukhtār b. Muḥammad b. al-Mukhtār al-`Alawī,أحمد بن المختار (الشيخ) بن أحمد المختار بن محمد بن المختلر بن الأعمش العلوي
6252,Aḥmad b. Muḥammad b. Ḥabīb al-`Alawī,أحمد بن محمد بن حبيب العلوي
6253,Imām b. Almān b. Sīdī b. `Issa Iqayqub aj-Jakanī,إمام بن المان بن سيدي بن عيسي إيديقوب الجكني
6254,Amīn b. al-Ḥārith b. Muḥanḍ ash-Shuqrawī,أمين بن الحارث بن محنض الشَّقروي
6255,Zayn al-`Ābidīn b. Muḥummadhun b. Ḥabīb b. al-Wāfī at-Tandaghī,زين العابدين بن محمذن بن حبيب بن الوافي التندغي
6256,Sīdī Aḥmad Bāba b. Muḥammad b. aṭ-Ṭālib `Isā aj-Jakanī,سيدي أحمد باب بن محمد بن الطالب عيسي الجكني
6258,Sīdī Muḥammad b. Sīdī `Abd Allāh b. Aḥmad (Māyāba) aj-Jakanī,سيدي محمد بن سيدي عبد الله بن أحمد (مايابي) الجكني
6259,Mujaddid b. al-Muṣṭafā al-Būḥamdī al-Majlisī,مجديد بن المصطفي البوحمدي المجلسي
6260,Sīdī Muḥammad b. Ni`ma aj-Jakanī,سيدي محمد بن نعمه الجكني
6261,Sa`d Būh b. Muḥammad Fadl [Ṿāḍil] al-A`baydī al-Qalqamī,سعد بوه بن محمد فاضل الاعبيدي القلقمي
6262,Shaykhnā b. Muḥummadhun b. Biyya aj-Jakanī,شيخنا بن محمذن بن بيٌ الجكني
6263,Ṣadīq b. Aḥmadu b. Muḥammadu b. Sīdī al-Mukhtār b. al-Amīn b. Ḥrīmu aj-Jakanī,صديق بن أحمدُ بن محمدو بن سيدي المحتار بن الأمين بن احريم الجكني
6264,aṭ-Ṭālib Jiddu b. `Abd al-Bāqī b. al-Mukhtār b. Būna aj-Jakanī,الطالب جدُ بن عبد الباقي بن المختار بن بون الجكني
6265,`Abd ar-Raḥmān b. ash-Shaykh b. Almān aj-Jakanī,عبد الرحمن بن الشيخ المانْ الجكني
6266,`Abd ar-Raḥmān b. al-Mukhtār b. Aḥmad b. Abajj al-`Alawī,عبد الرحمن بن المختار بن أحمد بن أبجَ العلوي
6267,`Abd al-Qādir b. Abī Bakr b. Atfagha Aḥmad b. ash-Shaykh al-Ghallāwī,عبد القادر بن أبي بكر بن أتفغ أحمد بن الشيخ الغلاوي
6268,`Abd Allāh b. Abī Bakr b. Muḥammad b. Aḥmad b. Hayt al-Walātī,عبد الله بن أبي بكر بن محمد بن أحمد بن هيت الولاتي
6269,`Abd Allāh b. Muḥammaddan b. Lūlī at-Tandaghī,عبد الله بن محمدٌن بن لولي التندغي
6270,`Abd al-Wadūd b. Muḥammad b. `Abd al-Wadūd b. al-Ḥāj aj-Jakanī,عبد الودود بن محمد بن عبد الودود بن الحاج الجكني
6271,`Arabī b. ash-Sharīf b. al-Yamānī b. Sīdī ash-Shrīf,عربي بن الشريف بن اليماني بن سيدي الشريف
6272,Muḥammad Aḥmad b. Aḥmad b. Aḥmad b. al-Ḥāj al-`Alawī,محمد أحمد بن أحمد بن أحمد بن الحاج العلاوي
6273,Muḥammad al-Amīn b. Aḥmad (Ābba) b. Muḥammadī al-`Alawī,محمد الأمين بن أحمد (آبٌ) بن محمدي العلاوي
6274,Muḥammad al-Amīn b. Sīdī `Abd Allāh b. al-Ḥāj Ibrāhīm al-`Alawī,محمد الأمين بن سيدي عبد الله بن الحاج إبراهيم العلوي
6275,Muḥammad al-Ḥasan b. al-Ḥāj Dāwud aj-Jakanī,محمد الحسن بن الحاج داود الجكني
6276,Muḥammaddin as-Sālim b. Ābujjā at-Tandaghī,محمدٌن السالم بن آبُجٌاه التندغي
6277,Muḥammaddin b. al-Māmūn (Ammūn) b. Muḥammad b. Mawlūd b. al-Mukhtār at-Tandaghī,محمدٌن بن المامون (امٌون) بن محمد مولود بن المختار التندغي
6278,Muḥammad as-Sālim b. Atāh b. Yaḥẓīh b. `Abd al-Wadūd aj-Jakanī,محمد السالم بن اتاه بن يحظيه بن عبد الودود الجكني
6280,Muḥammaddu b. Muḥammad `Abd ar-Raḥmān b. al-Kharrāshī aj-Jakanī,محمدٌ بن محمد عبد الرحمن بن الخراشي الجكني
6281,Muḥammad b. Maḥmūd b. `Umar al-Ḥājī,محمد بن محمود بن عمر الحاجي
6282,al-Muṣṭafā b. Aḥmaddu b. Ayshā at-Tandaghī,المصطفي بن أحمدُ بن أيشا التندغي
6283,Yaḥya b. Muḥammad b. Ḥraymu aj-Jakanī,يحي بن محمد بن أحريمُ الجكني
6284,Muḥammad b. Aḥmad (Bū Guffa) b. Muḥammad b. Muḥammad al-Māḥi b. Muḥammad at-Tiknī al-Lamhājībī,محمد بن أحمد (توكفٌ) بن محمد بن محمد الماح بن محمد التكني اللمحاجيبي
6285,Muḥammaddu b. `Abd Allāh b. al-`Ālim al-Banyūgī,محمد بن عبد الله بن العالم البنيوگي
6286,Yābbah (Aḥmad Ya`qūb) b. Muḥammad Maḥmūd (Muḥammadī) as-Simālīlī,يابٌه (أحمد يعقوب) بن محمد محمود (محمادي) السملالي
6287,Muḥammad b. al-Amīn b. Yu'baj at-Tāmglāwī,محمد بن الأمين بن يؤبج التامگلاوي
6288,Aḥmad Fāl [Ṿāl] b. Ya`qūb b. al-Kawrī as-Subākī,أحمد فال بن يعقوب بن الكوري السُباكي
6289,Muḥammad b. Ammīn b. Muḥummadhun b. Maḥḥam b. Bbūbā b. al-Māḥī (Māhī) ad-Daymānī,محمد بن امٌين بن محمذن بن محم ابٌبوبا بن الماحي الديماني
6290,al-Mukhtār b. Muḥammadhun b. Aḥmad Shālla [Shaḷḷa] (Abī Mījah) ad-Daymānī,المختار بن محمذن بن أحمد شااله (ابي ميجه) الديماني
6291,Mawlūd b. al-Mukhtār (Mutayylī) b. Sīdī al-Fāllī [al-Vāḷḷī] ad-Daymānī,مولود بن المختار (متيلي) بن سيدي الفالي الديماني
6292,Sīdī Muḥammad b. Mūlāy Aḥmad b. ash-Shaykh b. Mūlāy Ismā`il ash-Sharīf,سيدي محمد بن مولاي أحمد بن الشيخ بن مولاي إسماعيل الشريف
6293,al-Muṣṭafā b. `Abdī al-Qalqamī,اامصطفي بن عبدي القلقمي
6294,Sīdī Ibrāhīm b. Muḥammad Bāba al-Qalqamī,سيدي إبراحبم بن محمد باب القلقمي
6295,Aḥmad al-Misk b. Aḥmad b. `Umar b. Muḥammad Aqīt al-Ḥājī,أحمد المشك بن أحمد بن عمر بن محمد أقيت الحاجي
6296,Aḥmad b. Ḥamadtū at-Tandaghī,أحمد بن حامدتو التندغي
6297,`Abd ar-Raḥmān b. Ḥadām al-Mālikī al-`Alawī,عبد الرحمن بن حدام المالكي العلوي
6298,Aḥmad b. Ḥakkī al-Ghallāwī,أحمد بن حكي الغلاوي
6299,Aḥmad b. Bbāta [Ḅḅāta] al-Qalqamī,أحمد بن أبات القلقمي
6301,Muḥammad al-Māmī b. Habīb Allāh [Ḥabībaḷḷā] al-Ya`qūbī,
6315,‘Abdāwa b. al-Ma‘zūz b. al-Fāllī [al-Vāḷḷī] al-Lamtūnī,عبداوه المعزوز بن الفاللي اللمتوني
6329,Muḥammad b. Fῡdī,محمد بن فودي
6330,al-Ansārī,الأنصاري
6331,Muḥammad b. `Abd Allāh al-Anṣārī,محمد بن عبد الله الأنصاري
6332,`Abd al-Qādīr b. al-Ḥasan al-Fāsī,أبو محمد عبد القادر بن الحسن الفاسي
6333,`Abd al-Raḥman b. Muḥammad al-Fāsī,عبد الرحمن بن محمد الفاسي
6334,Abῡ Muḥammad b. Ibrāhīm b. Muḥammad al-Fasi,أبو محمد بن إبراهيم بن محمد الفاسي
6335,al-Mukhtār b. al-Muṣṭafa al-Ghallāwī,المختار بن المصطفى الغلاوي
6337,Ibn `Umar al-Zanātī,ابن عمر الزناتي
6338,Ismā'il b. Sīdi Muḥammad Sa`ad al-Qādīrī,إسماعيل بن سيد محمد سعيد القادري
6339,al-Shaykh Aḥmad al-Walātī,الشيخ أحمد الولاتي
6340,Muḥammad al-Wali al-Walātī,محمد الولي الولاني
6341,al-Muṣṭafa b. Bāba Sharif al-Tinbukti,المصطفى بن بابا شرف التنبكتي
6343,Yadi b. al-Faqih Sanba b. Būḍ al-Fulānī,يد بن الفقه سنب بن بوض الفلاني
6346,Khālid b.  Yaḥyā b. Yῡsuf al-Jazῡlī,خالد بن يحيى بن يوسف الجزولي
6347,Muḥammad al-Wālī,محمد الوالي
6348,`Abd al-Raḥman b. al-Khaṭīb Yῡsuf b. Sa`īd `Abd al-Qādīr al-Barnāwī al-Khazrajī,عبد الرحمن بن الخطيب يوسف بن سعيد عبد القادر البرناوي الخزرجي
6349,Muḥammad b.`Alī b.  `Uthmān b. Shihāb  al-Fulānī,محمد أبو محمد بن علي ابن عثمان بن شهاب الفلاني
6350,Muḥammad b. Muḥammad b. `Uthmān b. Shahāb al-Fulānī,محمد بن محمد بن عثمان بن شهاب الفلاني
6352,Abῡ Bakr Muḥammad b. `Azīz al-al-Sakhāwī,أبو بكر محمد بن عزيز السجتاني
6353,Mῡsa b. `Uthmān b. Ibrāhīm b. al-Muṣṭafa al-Abῡ Bakr al-Maghribī,موسى بن عثمان بن ابراهيم بن المصطفى الوعكر المغربي
6354,Abῡ Ḥasan al-Qābisī,أبو الحسن القابسي
6355,Anbawī b. al-Imām Muḥammad `Abd Allāh al-Ḥamdī al-Maḥjūbī al-Walātī,أنبوي بن الإمام محمد عبد الله الأحمدي المحجوبي الولاتي
6357,Sulaymān b. al-Mukhtar Ilūrī ↵,سليمان بن المختار اللوري
6358,Aḥmad `Abd al-Ḥayy al-Ḥalabī al-Shāfi`ī,أحمد عبدالحي الحلبي الشافعي
6359,Abī Ḥafiṣ `Umar b. al-Wardī,أبي حفص عمر بن الوردي
6360,al-Māsinī,الماسني
6361,Abῡ Ḥasan al-Wa`īẓī,أبو الحسن الوعيظي
6362,Abῡ Yῡsuf al- Kūrānī,أبو يوسف الكوراني
6363,Khadīja  Bῡrī,خديجة بوري
6364,al-Abhῡrī,الأبهوري
6365,Mῡ'min al-Shablnjī,مؤمن الشبلنجي
6366,Amhānī,أمهاني
6367,`Umar Dakῡrī Bamraj,عمر دكوري بمرج
6369,Aḥmad Bāba b. Muḥammad b. Yῡsuf b. Salim b. Ibrāhīm Fadaki al-Raghawi,أحمد باب بن محمد بن يوسف بن سالم بن ابراهيم فادكي الرغوي
6370,Ja`far b. Muḥammad b. Abῡ Bakr b. Hāshimī al-Māsinī al-Kaywī,جعفر بن محمد بن أبي بكر بن هاشمي الماسني الكيوي
6371,Ismā`īl Ḥaqqī al-Jalῡni,إسماعيل حقي الجلوتي
6372,Khālid b.  Yaḥyā al-Jarsifī,خالد بن يحيى الجرسيفي
6373,Muḥammad b. Yῡsuf al- Jarsifī,محمد بن يوسف الجرسيفي
6374,Aḥmad b. Qāsim al-Jazāmī,أحمد بن قاسم الجزامي
6376,Muḥammad b. Muḥammad al-Kabāsī,محمد بن محمد الكباسي
6377,Muḥammad al-Amin b. Muḥammad b. al-Qadi al-Kanjuri,محمد الأمين بن محمد بن القاضي كنجوري
6378,`Abd Allāh b. al-Muṣṭafa b. Sulymān b. `Abd Allāh al-Kaykawī,عبد الله بن المصطفى ابن سليمان بن عبد الله الكيكوي
6379,Muḥammad b. Ya`qῡb b. Mῡsa Laḥnūwī,محمد بن يعقوب بن موسى لحنوي
6380,Aḥmad al-Maghribī al-Ash`arī,أحمد المغربي الأشعري
6381,al-Marsī,أبو العباس المرسي
6382,Yaḥyā b. `Abd al-Raḥman al-Qudsī al-Shāfi`ī al-Qadīrī,يحيى بن عبد الرحمن القدسي الشافعي القادري
6383,Abῡ Bakr al-Ramāni,أبو بكر الرماني
6384,Ya`qῡb b. Mῡsa Sa`nawī,يعقوب بن موسى سعنوي
6385,Muḥammad b. Ya`qῡb b. Mῡsa Samnūnī,محمد بن يعقوب بن موسى سمنوني
6386,Muḥammad Tafī,محمد تفي
6387,al-Tamdhi,التمذي
6388,Muḥammad b. `Abd Allāh b. Tamrat,محمد بن عبد الله بن تمرت
6389,Maḥmud Hīlayālī b. `Abd Allāh al-Turkī,محمود حيلياسى بن عبد الله التركي
6390,Muḥammad b. Muḥammad b. Aḥmad al-Waqaṣī,محمد بن محمد بن أحمد الوقصى
6391,Abῡ al-`Abbās b. Aḥmad al-Yuni,أبو العباس بن أحمد اليوني
6392,Abῡ Bakr al-Zamānī,أبو بكر الزماني
6394,`Abd al-`Azīz al-Jābar,عبد العزيز الجابر
6396,`Abd Allāh al-Sultan,عبد الله بن السلطان
6397,`Abd Allāh b.`Alī,عبد الله بن علي
6398,`Abd Allāh b. al-Ḥājj Muḥammad,عبد الله بن الحاج محمد
6399,`Abd Allāh b. Salah,عبد الله بن سلام
6400,`Abd Allāh Tarwalī Janbakr,عبدالله ترولي جنبكر
6401,`Abd al-Laṭīf b. Mῡsa,عبد اللطيف بن موسى
6402,`Ali Abῡ al-Dardā',علي أبو الدرداء
6403,`Ali b. `Uthmān b. Muḥammad,علي بن عثمان محمد
6405,Abῡ `Abd Allāh Muḥammad,أبو عبد الله محمد
6406,Abῡ `Abd Allāh Muḥammad b. `Umar,أبو عبدالله محمد بن عمر
6407,Abῡ `Umrān,أبو عمران
6409,Abῡ Bakr b. Maḥmud b. Abῡ Bakr,أبو بكر بن محمود بن أبو بكر
6410,al-Shaykh Aḥmad,الشيخ أحمد
6411,Aḥmad b. al-Shaykh Aḥmad,أحمد بن الشيخ أحمد
6412,Aḥmad b. Ja`far al-Sabt,أحمد بن جعفر السبت
6413,Aḥmad b. Yῡsuf Ibn Mālik,أحمد بن يوسف ابن مالك
6414,al-Ḥusayn b. Muḥammad,الحسين بن محمد
6415,al-Sultān Muḥammad al-Qarnun,السلطان محمد القرنون
6416,Amīn Dam,أمين دم
6417,Bāmal(?),بامل
6418,Dāuwd `Alīh al-Salām,داود عليه السلام
6419,Ḥārith Abῡ al-Hazim,الشيخ الحارث أبو الحازم
6420,Ibn Aḥmad,ابن أحمد
6421,Ibn Ḥārith,الشيخ ابن الحارث
6423,Ibrāhīm  Shihāb al-Dīn,(يعقوب)
6424,Ibrāhīm Shihāb al-Dīn,ابراهيم شهاب الدين
6425,Imām al-`Aynayn,الامام العنين
6426,Maḥmud b. al-Hājj Yῡsuf,محمود بن الحاج يوسف
6427,Mu`ādh b. `Alīi b. `Uthmān b. Mu`ādh,معاذ بن علي بن عثمان بن معاذ
6428,Muḥammad b. al-Faqīh,محمد بن الفقيه
6429,Muḥammad al-Sultān,نور الدين محمد السلطان
6430,Muḥammad b. `Abd al-Salām,محمد بن عبد السلام
6432,Muḥammad b. `Abd Allāh al-….,أبو عبدالله محمد بن عبدالله ال.......
6434,Muḥammad b.`Alī,محمد بن على
6435,Muḥammad b. `Araf b. Ṭahir,محمد بن عرف بن طاهر
6437,Muḥammad b. Abῡ Bakr b. Mālik,محمد بن أبي بكر بن مالك
6439,Muḥammad b. al-Faqīh b.  Muḥammad,محمد بن الفقيه محمد
6440,Muḥammad b. al-Faqih Ya`mak,محمد بن الفقيه يعمك
6442,Muḥammad b. Faqīh al-Zāhid,محمد بن فقيه الزاهد
6443,Muḥammad b. Funān,الحاج محمد بن فونان
6444,Muḥammad b. Ismāīl,محمد بن اسماعيل
6446,Muḥammad b. Muḥammad b. al-Mukhtar b. al-Ḥasan,محمد بن محمد بن المختار ابن الحسن
6447,Muḥammad b. Salām,محمد بن سلام
6448,Muḥammad b. Sulaymān,محمد بن سليمان
6449,Muḥammad b. Yῡsuf ibn Salām b. Ibrāhīm,محمد بن يوسف ابن سالم بن ابراهيم
6450,Muḥammad Ya`qῡb b. Mῡsa Taḥnῡn,محمد يعقوب بن موسى تحنون
